"score","a","b","doubtful","sex","length_cm","length_type","r2","sd_b","sd_log10_a","n","country","locality","species","family","length_cm_min","length_cm_max"
0.5,0.015,3.01,NA,"unsexed","","TL",NA,NA,NA,NA,"New Zealand","Eastern South Island","Kathetostoma giganteum","Uranoscopidae",NA,NA
0.7,0.02257,2.965,"","female","34.0- 63.0","TL",NA,NA,NA,151,"Philippines","Philippines","Katsuwonus pelamis","Scombridae",34,63
0.7,0.01482,3.096,"","male","34.0- 66.0","TL",NA,NA,NA,189,"Philippines","Philippines","Katsuwonus pelamis","Scombridae",34,66
0.7,0.0112,3.15,"","unsexed","30.0- 57.0","FL",NA,NA,NA,367,"Cuba","","Katsuwonus pelamis","Scombridae",30,57
0.7,0.0113,3.16,"","mixed","41.0- 62.0","FL",NA,NA,NA,848,"Madagascar","Madagascar","Katsuwonus pelamis","Scombridae",41,62
0.7,0.0113,3.16,"","unsexed","30.0- 60.0","FL",NA,NA,NA,20,"Japan","N.E. of Japan","Katsuwonus pelamis","Scombridae",30,60
0.7,0.00961,3.19,"","unsexed","35.0- 54.0","FL",NA,NA,NA,100,"New Zealand","New Zealand","Katsuwonus pelamis","Scombridae",35,54
0.7,0.00852,3.216,"","unsexed","39.0- 83.0","FL",NA,NA,NA,268,"Hawaii","Hawaii","Katsuwonus pelamis","Scombridae",39,83
0.7,0.00878,3.22,"","unsexed","42.0- 60.0","FL",NA,NA,NA,1612,"Cuba","West Zone","Katsuwonus pelamis","Scombridae",42,60
0.5,0.00859,3.229,"","unsexed","","",NA,NA,NA,NA,"Somalia","Equatorial Western Indian Ocean","Katsuwonus pelamis","Scombridae",NA,NA
0.96,0.0086,3.229,"","male","","FL",0.957,NA,NA,459,"Brazil","Southeastern and southern regions, 1983-1989","Katsuwonus pelamis","Scombridae",NA,NA
0.94,0.00774,3.255,"","female","","FL",0.944,NA,NA,370,"Brazil","Southeastern and southern regions, 1983-1989","Katsuwonus pelamis","Scombridae",NA,NA
0.5,0.00679,3.28,"","unsexed","","FL",NA,NA,NA,NA,"Brazil","Southeastern  coast","Katsuwonus pelamis","Scombridae",NA,NA
0.96,0.00687,3.287,"","mixed","","FL",0.956,NA,NA,1030,"Brazil","Southeastern and southern regions, 1983-1989","Katsuwonus pelamis","Scombridae",NA,NA
0,0.06776,3.29,"yes","unsexed","38.0- 71.0","FL",NA,NA,NA,120,"New Zealand","New Zealand","Katsuwonus pelamis","Scombridae",38,71
0.96,0.00654,3.293,"","unsexed","35.0- 85.0","FL",0.963,NA,NA,2029,"Brazil","Southern region, Santa Catarina, 1995-1996","Katsuwonus pelamis","Scombridae",35,85
1,0.0077,3.304,"","unsexed","19.0- 66.5","SL",0.999,0.055,0.0872,24,"Philippines","Davao Gulf / 2009-2012","Katsuwonus pelamis","Scombridae",19,66.5
0.7,0.00561,3.315,"","unsexed","36.0- 64.0","FL",NA,NA,NA,2554,"","Eastern Atlantic","Katsuwonus pelamis","Scombridae",36,64
0.5,0.00572,3.34,"","unsexed","","FL",NA,NA,NA,NA,"Cuba","Southwest Zone","Katsuwonus pelamis","Scombridae",NA,NA
0.7,0.00481,3.35,"","unsexed","23.0- 76.0","FL",NA,NA,NA,664,"USA","North and South Carolina","Katsuwonus pelamis","Scombridae",23,76
0.7,0.00577,3.353,"","unsexed","26.0- 76.0","FL",NA,NA,NA,644,"","Western Atlantic","Katsuwonus pelamis","Scombridae",26,76
0.7,0.00481,3.368,"","unsexed","33.0- 88.0","FL",NA,NA,NA,1298,"Hawaii","Hawaii","Katsuwonus pelamis","Scombridae",33,88
0.5,0.002,3.378,"","unsexed","","",NA,NA,NA,NA,"South Africa","","Katsuwonus pelamis","Scombridae",NA,NA
0,0.00452,3.379,"yes","unsexed","","",NA,NA,NA,NA,"South Africa","Eastern Cape","Katsuwonus pelamis","Scombridae",NA,NA
0.7,0.00403,3.413,"","unsexed","39.0- 71.0","FL",NA,NA,NA,924,"","Eastern tropical Pacific","Katsuwonus pelamis","Scombridae",39,71
0.7,0.00342,3.456,"","unsexed","40.0- 73.0","FL",NA,NA,NA,520,"","Eastern Atlantic","Katsuwonus pelamis","Scombridae",40,73
0,0.0377,1.97,"yes","female","3.5- 4.0","TL",0.975,0.9,0.7312,81,"Iran","Gomishan (37°11'N, 53°57'E) and Miankale (53°17'N, 36°50'E), SE Caspian","Knipowitschia caucasica","Gobiidae",3.5,4
0.98,0.0182,2.51,"","mixed","3.5- 4.3","TL",0.98,0.36,0.2823,234,"Iran","Gomishan (37°11'N, 53°57'E) and Miankale (53°17'N, 36°50'E), SE Caspian","Knipowitschia caucasica","Gobiidae",3.5,4.3
0.98,0.0135,2.72,"","male","3.7- 4.3","TL",0.984,0.5,0.4771,79,"Iran","Gomishan (37°11'N, 53°57'E) and Miankale (53°17'N, 36°50'E), SE Caspian","Knipowitschia caucasica","Gobiidae",3.7,4.3
0.98,0.0072,3.22,"","unsexed","2.2- 3.4","TL",0.98,0.664,NA,6,"Turkey","Büyükçekmece Dam, Marmara region, 1995 (May-Oct.)","Knipowitschia caucasica","Gobiidae",2.2,3.4
0,0.004,3.25,"yes","male","- 2.9","TL",0.74,NA,NA,230,"Greece","Evros River (Delta), 1983-84","Knipowitschia caucasica","Gobiidae",NA,2.9
0,0.0034,3.43,"yes","female","- 4.1","TL",0.865,NA,NA,158,"Greece","Evros River (Delta), 1983-84","Knipowitschia caucasica","Gobiidae",NA,4.1
0.97,0.015,2.79,NA,"unsexed","1.8- 5.0","TL",0.971,0.05,0.0238,483,"Brazil","Xingu River basin / 2012-2014","Knodus heteresthes","Characidae",1.8,5
0.94,0.0138,2.854,NA,"unsexed","4.2- 6.4","TL",0.944,0.201,NA,19,"Colombia","Hacha River, Amazon basin / 2008-09.","Knodus hypopterus","Characidae",4.2,6.4
0.97,0.0139,2.949,NA,"unsexed","4.3- 6.9","TL",0.969,0.14,NA,65,"Colombia","Hacha River, Amazon basin / 2008-09.","Knodus megalops","Characidae",4.3,6.9
0.96,0.0201,2.8,NA,"unsexed","0.9- 4.3","SL",0.96,0.1,0.0431,130,"Brazil","Iguatemi River / 2006-2008","Knodus moenkhausii","Characidae",0.9,4.3
0.91,0.0215,2.842,NA,"unsexed","10.0- 26.0","FL",0.906,NA,NA,NA,"Korea (South)","South coast, 1998","Konosirus punctatus","Clupeidae",10,26
0.99,0.0232,2.899,NA,"unsexed","7.0- 19.0","SL",0.986,NA,NA,NA,"China","Daya Bay, Guangdong, 1985-86","Konosirus punctatus","Clupeidae",7,19
0.98,0.0044,3.25,NA,"unsexed","10.4- 20.4","TL",0.981,0.12,0.1343,57,"Korea (South)","Saemangeum Reservoir / 2013","Konosirus punctatus","Clupeidae",10.4,20.4
0.98,0.0264,3.19,NA,"unsexed","1.8- 9.5","SL",0.983,0.17,0.1184,26,"French Guiana","2011-2012","Krobia itanyi","Cichlidae",1.8,9.5
0.97,0.0104,2.92,NA,"unsexed","2.6- 11.4","TL",0.97,0.11,0.0881,84,"Brazil","Guandu River / 2010-2011","Kronichthys heylandi","Loricariidae",2.6,11.4
0.99,0.01456,3.083,NA,"mixed","4.0- 17.5","FL",0.992,NA,NA,31,"New Caledonia","","Kuhlia marginata","Kuhliidae",4,17.5
0.99,0.0134,3.121,NA,"unsexed","4.0- 17.5","FL",0.99,NA,NA,58,"New Caledonia","lagoon","Kuhlia marginata","Kuhliidae",4,17.5
0,0.01058,3,NA,"unsexed","16.2- 16.2","TL",NA,NA,NA,1,NA,NA,"Kuhlia mugil","Kuhliidae",16.2,16.2
0,0.0175,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Kuhlia mugil","Kuhliidae",NA,NA
0,0.01085,3,NA,"unsexed","11.2- 23.0","TL",NA,NA,NA,5,"","","Kuhlia sandvicensis","Kuhliidae",11.2,23
0,0.02102,3,NA,"unsexed","9.0- 18.5","SL",NA,NA,NA,5,"","","Kuhlia sandvicensis","Kuhliidae",9,18.5
0.99,0.036,3.02,NA,"juvenile","2.5- 14.3","FL",0.99,0.08,0.0418,46,"Hawaii","Hawaiian islands / 2012-2014","Kuhlia sandvicensis","Kuhliidae",2.5,14.3
0.99,0.0328,3.03,NA,"juvenile","2.0- 17.0","FL",0.99,0.01,0.0134,558,"Hawaii","Hawaiian islands / 2012-2014","Kuhlia xenura","Kuhliidae",2,17
1,0.0275,2.86,NA,"unsexed","17.7- 45.0","TL",0.996,NA,NA,3,NA,NA,"Kyphosus bigibbus","Kyphosidae",17.7,45
0,0.02953,3,NA,"unsexed","15.2- 36.5","SL",NA,NA,NA,3,NA,NA,"Kyphosus bigibbus","Kyphosidae",15.2,36.5
0,0.0179,3,NA,"unsexed","26.0- 28.6","TL",NA,NA,NA,2,"Japan","'Raiatea Lagoon, Tokushima","Kyphosus cinerascens","Kyphosidae",26,28.6
0,0.01699,3,NA,"unsexed","70.0- 70.0","FL",NA,NA,NA,1,NA,NA,"Kyphosus incisor","Kyphosidae",70,70
1,0.0174,3.079,NA,"unsexed","19.0- 20.6","FL",1,0.004,0.017,2,"USA","Southern Florida","Kyphosus sectatrix","Kyphosidae",19,20.6
0.96,0.0226,3.055,NA,"unsexed","25.0- 57.5","FL",0.955,NA,NA,32,"New Zealand",NA,"Kyphosus sydneyanus","Kyphosidae",25,57.5
0.99,0.01998,3.037,NA,"mixed","17.7- 48.0","FL",0.994,NA,NA,12,"New Caledonia",NA,"Kyphosus vaigiensis","Kyphosidae",17.7,48
0.5,0.013,2.94,NA,"unsexed",NA,"TL",NA,NA,NA,NA,"Zambia","Bangweulu swamps, 1994-96","Labeo altivelis","Cyprinidae",NA,NA
0.5,0.023,2.96,NA,"unsexed",NA,"",NA,NA,NA,NA,"Zimbabwe","Lake Kariba","Labeo altivelis","Cyprinidae",NA,NA
0.5,0.0283,2.976,NA,"unsexed",NA,"SL",NA,NA,NA,NA,"Zimbabwe","Lake Kariba","Labeo altivelis","Cyprinidae",NA,NA
0.99,0.0064,3.16,NA,"unsexed","7.9- 25.2","TL",0.991,0.04,0.0353,304,"Bangladesh","Ganges River / 2013-2014","Labeo bata","Cyprinidae",7.9,25.2
0.94,0.0256,2.831,NA,"unsexed","12.0- 79.0","",0.941,NA,NA,188,"India","River Brahmaputra, Assam, 1974-79","Labeo calbasu","Cyprinidae",12,79
0.95,0.01,2.94,NA,"unsexed","12.5- 37.0","TL",0.95,0.19,0.3,30,"India","Betwa River / 2007-2009","Labeo calbasu","Cyprinidae",12.5,37
0.9,0.00802,3.132,NA,"unsexed","20.5- 64.0","TL",0.904,NA,NA,1212,"Bangladesh","Kapati Lake","Labeo calbasu","Cyprinidae",20.5,64
0.89,0.0213,3.169,NA,"unsexed","","TL",0.893,NA,NA,283,"India","Kali River","Labeo calbasu","Cyprinidae",NA,NA
0.98,0.0119,3.005,NA,"unsexed","8.0- 42.0","TL",0.976,5.724,NA,320,"Thailand","Chi River, 2004-2008","Labeo chrysophekadion","Cyprinidae",8,42
0.5,0.0299,3.008,NA,"unsexed",NA,"SL",NA,NA,NA,NA,"Zambia","Lake Kariba","Labeo congoro","Cyprinidae",NA,NA
0.99,0.0576,2.74,NA,"unsexed","14.0- 52.0","SL",0.992,NA,NA,16,"Burkina Faso","Mouhoun, Volta River, 1980-81","Labeo coubie","Cyprinidae",14,52
0.9,0.01,3.051,NA,"unsexed","7.8- 18.3","SL",0.901,1.613,NA,43,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Labeo coubie","Cyprinidae",7.8,18.3
0.99,0.0166,3.162,NA,"unsexed","6.6- 22.8","SL",0.988,NA,NA,125,"Ghana","Volta River","Labeo coubie","Cyprinidae",6.6,22.8
0.96,0.0105,3.01,NA,"unsexed","6.4- 18.5","FL",0.96,NA,NA,359,"Kenya","Lake Baringo, 2004-05","Labeo cylindricus","Cyprinidae",6.4,18.5
0.5,0.0144,3.235,NA,"unsexed","","SL",NA,NA,NA,NA,"Zambia","Lake Kariba","Labeo cylindricus","Cyprinidae",NA,NA
0.95,0.0099,3.019,NA,"unsexed","11.7- 49.6","TL",0.954,0.138,0.1444,15,"India","Kosi River (29°27'48''N; 79°28' 81''E) of Uttarakhand (a Ganga River Basin tributary), 2013-14","Labeo dyocheilus","Cyprinidae",11.7,49.6
0.99,0.00976,3.022,NA,"unsexed","12.1- 45.4","",0.988,0.138,0.2475,120,"India","Kosi River, Ramnagar, Uttarakhand / 2013-2014","Labeo dyocheilus","Cyprinidae",12.1,45.4
0,0.11486,2.732,"yes","unsexed","12.0- 60.0","TL",0.853,0.246,NA,106,"India","peninsular rivers / 2009-2012","Labeo fimbriatus","Cyprinidae",12,60
0.93,0.00617,2.735,"","unsexed","","",0.925,NA,NA,NA,"India","Dowlaiswaram-Dummagudem, Godavari River, 1962-65","Labeo fimbriatus","Cyprinidae",NA,NA
0.97,0.00305,3.211,NA,"unsexed","15.8- 40.1","TL",0.97,0.173,0.2033,34,"India","Basantar River, 32°32'N, 75°05'E - 32° 33'N, 75°06'E / 2014","Labeo gonius","Cyprinidae",15.8,40.1
0.5,0.013,2.94,NA,"unsexed",NA,"TL",NA,NA,NA,NA,"Zambia","Bangweulu swamps, 1994-96","Labeo lukulae","Cyprinidae",NA,NA
0.5,0.012,2.93,NA,"unsexed",NA,"TL",NA,NA,NA,NA,"Botswana","Okavango Delta","Labeo lunatus","Cyprinidae",NA,NA
0.5,0.01,3.271,NA,"unsexed",NA,"SL",NA,NA,NA,NA,"Zambia","Lake Kariba","Labeo lunatus","Cyprinidae",NA,NA
0.7,0.00381,3.14,NA,"unsexed","12.0- 63.0","TL",NA,NA,NA,1444,"Egypt","Nozha Hydrodome, 1968-70","Labeo niloticus","Cyprinidae",12,63
0.97,0.01324,2.91,NA,"unsexed","7.0- 23.0","TL",0.972,NA,NA,244,"Benin","Ouémé River Basin, 1999-2001","Labeo parvus","Cyprinidae",7,23
0.96,0.009,3.055,NA,"unsexed","6.1- 22.5","SL",0.964,0.762,NA,567,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Labeo parvus","Cyprinidae",6.1,22.5
0.99,0.0138,3.206,NA,"unsexed","7.1- 21.2","SL",0.986,NA,NA,198,"Ghana","Volta River","Labeo parvus","Cyprinidae",7.1,21.2
0.5,0.0136,2.533,"","unsexed","","",NA,NA,NA,NA,"India","Panchet Reservoir, Damodar Valley","Labeo rohita","Cyprinidae",NA,NA
0.5,0.00836,2.698,"","unsexed","","",NA,NA,NA,NA,"India","Tilaya Reservoir, Damodar Valley","Labeo rohita","Cyprinidae",NA,NA
0.5,0.00622,2.808,"","unsexed","","",NA,NA,NA,NA,"India","Konar Reservoir, Damodar Valley","Labeo rohita","Cyprinidae",NA,NA
0.95,0.028,2.92,"","juvenile","9.5- 36.2","SL",0.95,0.13,0.1461,NA,"Philippines","Pampanga River, Candaba, 2007-2008","Labeo rohita","Cyprinidae",9.5,36.2
0.99,0.0155,3.014,"","unsexed","5.0- 62.0","FL",0.988,NA,NA,NA,"India","Ganga River system","Labeo rohita","Cyprinidae",5,62
0.92,0.00732,3.149,"","unsexed","27.5- 84.5","TL",0.92,NA,NA,664,"Bangladesh","Kapati Lake","Labeo rohita","Cyprinidae",27.5,84.5
0,0.04066,3.313,"yes","unsexed","15.5- 77.0","TL",0.983,0.035,NA,209,"India","peninsular rivers / 2009-2012","Labeo rohita","Cyprinidae",15.5,77
0.98,0.00934,2.999,NA,"unsexed","7.8- 40.0","TL",0.984,NA,NA,917,"Benin","Ouémé River Basin, 1999-2001","Labeo senegalensis","Cyprinidae",7.8,40
0.98,0.0167,3.082,NA,"unsexed","6.4- 28.0","SL",0.984,NA,NA,270,"Ghana","Volta River","Labeo senegalensis","Cyprinidae",6.4,28
0.7,0.0057,3.34,NA,"unsexed","12.8- 29.5","FL",NA,NA,NA,136,"Tanzania","Lake Victoria, 1973-75","Labeo victorianus","Cyprinidae",12.8,29.5
0.7,0.01,3.159,NA,"unsexed","9.2- 61.2","FL",NA,NA,NA,59,"Tanzania","Lake Victoria, 1973-75","Labeobarbus altianalis","Cyprinidae",9.2,61.2
0.96,0.0147,3.049,NA,"unsexed","11.6- 27.0","FL",0.96,NA,NA,254,"Kenya","Lake Baringo, 2004-05","Labeobarbus intermedius","Cyprinidae",11.6,27
0.98,0.00558,3.27,NA,"mixed","10.0- 69.2","FL",0.98,NA,NA,93,"South Africa","Lake Gariep (30.38.703' S; 25°46.998' E), Orange River, 2008-2008","Labeobarbus kimberleyensis","Cyprinidae",10,69.2
0.97,0.014,2.853,NA,"unsexed","8.6- 24.5","SL",0.971,0.526,NA,18,"Cote d'Ivoire","River Bia (1995-97); Rivers Soumié, Eholié, Ehania and Noé, 2003-2005","Labeobarbus wurtzi","Cyprinidae",8.6,24.5
0.98,0.0328,2.527,NA,"unsexed","10.0- 15.5","TL",0.979,1.128,NA,301,"Thailand","Chi River, 2004-2008","Labiobarbus lineatus","Cyprinidae",10,15.5
0,0.01503,3,NA,"unsexed","11.0- 11.0","TL",NA,NA,NA,1,NA,NA,"Labrichthys unilineatus","Labridae",11,11
0,0.02568,3,NA,"unsexed","","SL",NA,NA,NA,1,NA,NA,"Labrichthys unilineatus","Labridae",NA,NA
0.99,0.0084,3.2,NA,"unsexed","2.5- 13.5","TL",0.991,0.03,NA,445,"Brazil","Praia dos Castelhanos, Espírito Santo, 2005-07","Labrisomus nuchipinnis","Labrisomidae",2.5,13.5
0,0.2094,2.208,"yes","unsexed","23.7- 34.9","TL",0.61,2.893,NA,6,"Chile","Northern and central coast of Chile/ 2004-2005; 2012-2013.","Labrisomus philippii","Labrisomidae",23.7,34.9
0.99,0.00908,3.181,NA,"unsexed","1.5- 14.0","TL",0.994,0.226,NA,57,"Mexico","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003","Labrisomus xanti","Labrisomidae",1.5,14
0.95,0.00761,3.105,NA,"unsexed","4.5- 10.0","TL",0.949,NA,NA,28,"New Caledonia","lagoon","Labroides dimidiatus","Labridae",4.5,10
0.5,0.0043,3.179,NA,"mixed","","TL",NA,NA,NA,NA,"Philippines","Presumably Philippines.","Labroides dimidiatus","Labridae",NA,NA
0.96,0.00585,3.231,NA,"mixed","4.5- 11.3","FL",0.962,NA,NA,36,"New Caledonia","","Labroides dimidiatus","Labridae",4.5,11.3
0.5,0.0076,3.105,NA,"mixed",NA,"TL",NA,NA,NA,NA,"Philippines","Presumably Philippines.","Labropsis xanthonota","Labridae",NA,NA
0,0.0145,3,NA,"unsexed","","TL",NA,NA,NA,NA,"France","","Labrus bergylta","Labridae",NA,NA
0.7,0.0119,3.115,NA,"unsexed","16.5- 47.5","TL",NA,NA,NA,67,"UK Scotland","North Sea & West coast","Labrus bergylta","Labridae",16.5,47.5
0.5,0.00473,3.211,NA,"unsexed","","",NA,NA,NA,NA,"UK","Southern coast, Isle of Man","Labrus bergylta","Labridae",NA,NA
0.94,0.01047,3.076,NA,"mixed","16.9- 26.6","TL",0.94,NA,NA,16,"Greece","Kyclades, 1997-98","Labrus merula","Labridae",16.9,26.6
0.97,0.0109,3.12,NA,"unsexed","","TL",0.968,NA,NA,133,"Spain","Catalan coast, 1996-98","Labrus merula","Labridae",NA,NA
0.98,0.0052,3.298,NA,"mixed","16.9- 33.1","SL",0.978,NA,NA,12,"Spain","East coast, 1995","Labrus merula","Labridae",16.9,33.1
0.83,0.005,3.257,NA,"unsexed","16.1- 31.6","TL",0.834,NA,NA,41,"Portugal","Nazaré to St André, 1997","Labrus mixtus","Labridae",16.1,31.6
0.7,0.0048,3.318,NA,"unsexed","18.0- 43.0","TL",NA,NA,NA,80,"UK Scotland","North Sea & West Coast","Labrus mixtus","Labridae",18,43
0.96,0.03595,2.669,NA,"mixed","18.0- 32.5","TL",0.96,NA,NA,26,"Greece","Kyclades, 1997-98","Labrus viridis","Labridae",18,32.5
0.81,0.053,2.706,NA,"unsexed","23.0- 59.5","FL",0.81,NA,NA,53,"Puerto Rico","","Lachnolaimus maximus","Labridae",23,59.5
0.99,0.0304,2.883,NA,"unsexed","24.5- 70.4","FL",0.99,NA,NA,27,"Virgin Is. (US)","St. Thomas/ St. John","Lachnolaimus maximus","Labridae",24.5,70.4
0.7,0.0237,2.95,NA,"unsexed","12.0- 62.0","FL",NA,NA,NA,196,"Cuba","Southwest Zone","Lachnolaimus maximus","Labridae",12,62
0.98,0.0203,2.988,NA,"unsexed","6.8- 60.0","FL",0.98,0.483,0.7852,228,"USA","Southern Florida","Lachnolaimus maximus","Labridae",6.8,60
1,0.00887,3.264,NA,"unsexed","30.8- 36.3","FL",1,NA,NA,3,"Virgin Is. (US)","St. Croix","Lachnolaimus maximus","Labridae",30.8,36.3
0.94,0.031,2.808,NA,"female","12.3- 24.5","TL",0.939,NA,NA,220,"India","Andhra Pradesh-Orissa, 1976-79","Lactarius lactarius","Lactariidae",12.3,24.5
0.5,0.0161,2.862,NA,"unsexed","","",NA,NA,NA,NA,"India","Bhimilipatnam, Waltair and Pudimadaka, 1959","Lactarius lactarius","Lactariidae",NA,NA
0.96,0.0303,2.89,NA,"unsexed","10.5- 15.0","SL",0.964,0.36,0.4059,18,"China","Beibu Gulf / 2006-2007","Lactarius lactarius","Lactariidae",10.5,15
0.96,0.014,2.958,NA,"male","11.4- 23.0","TL",0.962,NA,NA,247,"India","Andhra Pradesh-Orissa, 1976-79","Lactarius lactarius","Lactariidae",11.4,23
0.99,0.0098,3.047,NA,"unsexed","5.5- 31.5","TL",0.994,NA,NA,NA,"Indonesia","Western region","Lactarius lactarius","Lactariidae",5.5,31.5
0.7,0.117,2.63,NA,"unsexed","15.0- 26.0","SL",NA,NA,NA,30,"Colombia","Gulf of Salamanca, 1995-97","Lactophrys bicaudalis","Ostraciidae",15,26
0.7,0.0295,3,NA,"unsexed","13.6- 27.1","TL",NA,NA,NA,5,"USA","Southern Florida","Lactophrys bicaudalis","Ostraciidae",13.6,27.1
0,0.375,2.1,"yes","unsexed","7.0- 47.0","TL",NA,NA,NA,27,"Cuba","Southwest Zone","Lactophrys trigonus","Ostraciidae",7,47
1,0.0178,3.083,"","unsexed","29.2- 39.5","TL",1,0.036,0.1403,3,"USA","Southern Florida","Lactophrys trigonus","Ostraciidae",29.2,39.5
0.8,0.309,2.23,NA,"unsexed","12.4- 27.6","TL",0.8,1.125,0.8004,117,"USA","Southern Florida","Lactophrys triqueter","Ostraciidae",12.4,27.6
0.86,0.0275,2.709,NA,"unsexed","20.5- 30.0","TL",0.856,NA,NA,15,"New Caledonia","lagoon","Lactoria cornuta","Ostraciidae",20.5,30
0.86,0.00646,3.168,NA,"mixed","20.5- 30.0","FL",0.856,NA,NA,15,"New Caledonia","","Lactoria cornuta","Ostraciidae",20.5,30
0.98,0.0127,2.88,NA,"unsexed","11.9- 21.4","TL",0.982,0.15,0.1847,31,"Brazil","Xingu River basin / 2012-2014","Laemolyta fernandezi","Anostomidae",11.9,21.4
0.99,0.0137,2.83,NA,"unsexed","14.0- 26.1","SL",0.992,0.07,0.0875,59,"Brazil","Xingu River basin / 2012-2014","Laemolyta proxima","Anostomidae",14,26.1
0.97,0.01353,3.126,NA,"unsexed","9.2- 28.5","SL",0.97,0.046,0.0572,138,"Brazil","Madiera River / 2008-2011","Laemolyta proxima","Anostomidae",9.2,28.5
0.97,0.01174,3.119,NA,"unsexed","10.0- 24.5","SL",0.97,0.056,0.0671,113,"Brazil","Madiera River / 2008-2011","Laemolyta taeniata","Anostomidae",10,24.5
0.88,0.0062,3.053,NA,"mixed","27.0- 38.0","TL",0.875,1.186,0.5619,42,"Cape Verde","off Cape Verde Archipelago, 2000","Laemonema laureysi","Moridae",27,38
0.93,0.0047,3.134,NA,"male","27.0- 36.0","TL",0.926,0.954,0.827,14,"Cape Verde","off Cape Verde Archipelago, 2000","Laemonema laureysi","Moridae",27,36
0.73,0.0023,3.346,NA,"female","29.0- 36.0","TL",0.729,2.208,1.9468,14,"Cape Verde","off Cape Verde Archipelago, 2000","Laemonema laureysi","Moridae",29,36
0.9,0.0173,2.627,NA,"unsexed","14.0- 65.0","TL",0.896,NA,NA,230,"Russia","N Kuril Islands and SE Kamchatka, NW Pacific","Laemonema longipes","Moridae",14,65
0.6,0.0111,2.75,NA,"male","","TL",NA,NA,NA,3164,"Japan","Honshu Isl./1983-1988","Laemonema longipes","Moridae",NA,NA
0.6,0.0059,2.92,NA,"female","","TL",NA,NA,NA,6097,"Japan","Honshu Isl./1983-1988","Laemonema longipes","Moridae",NA,NA
0.6,0.0056,2.931,NA,"mixed","","TL",NA,NA,NA,9261,"Japan","Honshu Isl./1983-1988","Laemonema longipes","Moridae",NA,NA
0.5,0.0039,3.017,NA,"mixed","","TL",NA,NA,NA,NA,"Russia","Northwest Pacific","Laemonema longipes","Moridae",NA,NA
0.7,0.00997,3,NA,"unsexed","24.0- 35.0","TL",NA,NA,NA,4,NA,"Madeira archipelago, eastern-central Atlantic, 1997, 2004-05","Laemonema robustum","Moridae",24,35
0.98,0.0334,2.847,NA,"unsexed","14.6- 55.5","TL",0.98,0.107,0.2078,56,"Iran","Gulf of Oman / 2014","Lagocephalus inermis","Tetraodontidae",14.6,55.5
0.98,0.025,2.95,NA,"unsexed","7.3- 16.5","TL",0.98,NA,NA,24,"Iran","Hormozgan coastal waters (northeastern Persian Gulf) / 2012-2013","Lagocephalus inermis","Tetraodontidae",7.3,16.5
0.91,0.3382,2.223,"","unsexed","25.9- 38.9","SL",0.91,NA,NA,11,"Brazil","Central coast, 1993-2000","Lagocephalus laevigatus","Tetraodontidae",25.9,38.9
0.96,0.0172,2.65,"","juvenile","3.9- 15.5","TL",0.96,0.1,0.079,121,"Brazil","Parana´ state coast / 2004 - 2005","Lagocephalus laevigatus","Tetraodontidae",3.9,15.5
0,0.0308,2.792,"yes","juvenile","5.5- 11.9","TL",0.98,0.399,0.8239,29,"Brazil","Paraná (0°S - 25°S), 2003-2004","Lagocephalus laevigatus","Tetraodontidae",5.5,11.9
1,0.0187,2.89,"","unsexed","7.5- 47.5","TL",0.996,NA,NA,18,"Benin","","Lagocephalus laevigatus","Tetraodontidae",7.5,47.5
0.99,0.0232,2.89,"","unsexed","4.2- 54.4","TL",0.988,NA,NA,87,"Brazil","Southeastern region, 1995-1996","Lagocephalus laevigatus","Tetraodontidae",4.2,54.4
0,0.0142,3,"","unsexed","41.9- 76.2","TL",NA,NA,NA,5,"","","Lagocephalus laevigatus","Tetraodontidae",41.9,76.2
0,0.02694,3,NA,"unsexed","49.0- 49.0","TL",NA,NA,NA,1,"","","Lagocephalus lagocephalus","Tetraodontidae",49,49
0.85,0.0066,3.302,NA,"unsexed","12.3- 22.5","TL",0.85,2.12,NA,27,"Turkey","NE Mediterranean coast, 2001-2003","Lagocephalus lagocephalus","Tetraodontidae",12.3,22.5
0.99,0.029,3.06,NA,"unsexed","5.7- 34.3","SL",0.99,0.07,0.084,123,"China","Beibu Gulf / 2006-2007","Lagocephalus lunaris","Tetraodontidae",5.7,34.3
0.94,0.0381,2.645,NA,"male","8.9- 78.4","TL",0.939,NA,NA,49,"Turkey","Northeastern Mediterranean Sea/ 2011-2012.","Lagocephalus sceleratus","Tetraodontidae",8.9,78.4
0.99,0.0194,2.904,NA,"unsexed","9.0- 71.5","FL",0.992,NA,NA,67,"New Caledonia","lagoon","Lagocephalus sceleratus","Tetraodontidae",9,71.5
0.97,0.0138,2.915,NA,"female","15.4- 52.3","TL",0.973,NA,NA,28,"Turkey","Northeastern Mediterranean Sea/ 2011-2012.","Lagocephalus sceleratus","Tetraodontidae",15.4,52.3
0.99,0.01823,2.924,NA,"mixed","9.0- 72.0","FL",0.994,NA,NA,94,"New Caledonia","","Lagocephalus sceleratus","Tetraodontidae",9,72
